"","Date","rlc_end_time","specimenID","uid","plantID","treatment","temp","rlc_order","rlc_day","run","deltaNPQ","NPQ_Ypoint1","pmax","rETRmax","rETRmaxYpoint1","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"1","2023-11-16","8:07:14","Ac01","2023-11-16_Ac01",1,0,28,1,1,1,0.653,"0.78",72.67,74.34,74.34,0.655,0.012,55.6,0,111,4.1,27.2,0
"2","2023-11-16","8:11:58","Ac02","2023-11-16_Ac02",1,1,28,1,1,1,0.585,"0.732",69.79,65.94,65.94,0.552,0.023,23.653,0,126.4,11.5,11,0
"3","2023-11-16","8:18:19","Ac03","2023-11-16_Ac03",2,0,28,2,1,1,0.598,"0.854",77.45,73.92,73.92,0.621,0.016,39.003,0,124.7,6.8,18.2,0
"4","2023-11-16","8:24:17","Ac04","2023-11-16_Ac04",2,1,28,2,1,1,0.639,"0.813",80.3,76.86,76.86,0.626,0.022,28.534,0,128.2,9.7,13.2,0
"5","2023-11-16","8:30:10","Ac05","2023-11-16_Ac05",3,0,28,3,1,1,0.576,"0.664",76.96,76.26,76.02,0.629,0.01,61.938,0,122.4,4.2,29.1,0
"6","2023-11-16","8:35:48","Ac06","2023-11-16_Ac06",3,1,28,3,1,1,1.014,"1.083",85.07,87.36,87.36,0.729,0.029,25.503,0,116.7,9.5,12.2,0
"7","2023-11-16","8:41:41","Ac07","2023-11-16_Ac07",4,0,28,4,1,1,0.803,"0.978",100.17,95.34,95.34,0.727,0.025,29.593,0,137.7,10.4,13.3,0
"8","2023-11-16","8:46:37","Ac08","2023-11-16_Ac08",4,1,28,4,1,1,0.818,"0.913",84.84,81.22,81.22,0.73,0.023,31.683,0,116.2,7.6,15.2,0
"9","2023-11-16","8:54:01","Ac09","2023-11-16_Ac09",5,0,24,5,1,1,0.735,"0.913",81.45,81.48,81.48,0.662,0.026,25.23,0,123,10.4,11.8,0
"10","2023-11-16","8:58:49","Ac10","2023-11-16_Ac10",5,1,24,5,1,1,0.5,"0.597",92.9,95.12,88.62,0.622,0.011,56.535,0,149.3,6.1,24.6,0
"11","2023-11-16","9:04:09","Ac11","2023-11-16_Ac11",6,0,24,6,1,1,0.582,"0.776",72.88,75.6,75.6,0.651,0.026,24.778,0,111.9,9.3,12.1,0
"12","2023-11-16","9:10:05","Ac12","2023-11-16_Ac12",6,1,24,6,1,1,0.726,"0.877",93.14,89.46,89.46,0.69,0.02,34.908,0,135,8.5,15.8,0
"13","2023-11-16","9:15:35","Ac13","2023-11-16_Ac13",7,0,24,7,1,1,0.546,"0.593",82.7,77.28,77.28,0.66,0.021,31.316,0,125.2,8.6,14.6,0
"14","2023-11-16","9:20:55","Ac14","2023-11-16_Ac14",7,1,24,7,1,1,0.756,"1.007",58.59,56.15,56.15,0.703,0.027,26.394,0,83.4,5.7,14.5,0
"15","2023-11-16","9:25:20","Ac15","2023-11-16_Ac15",8,0,24,8,1,1,0.737,"0.856",68.6,69.3,69.3,0.772,0.017,46.111,0,88.9,3.6,24.7,0
"16","2023-11-16","9:31:02","Ac16","2023-11-16_Ac16",8,1,24,8,1,1,0.49,"0.554",67.89,73.08,73.08,0.68,0.027,25.502,0,99.8,7.7,13,0
"17","2023-11-16","9:35:51","Ac17","2023-11-16_Ac17",9,0,28,9,1,1,0.608,"0.659",86.52,85.26,85.26,0.685,0.017,39.2,0,126.3,6.9,18.2,0
"18","2023-11-16","9:40:20","Ac18","2023-11-16_Ac18",9,1,28,9,1,1,0.792,"0.854",95.53,92.4,92.4,0.749,0.023,33.211,0,127.6,8.3,15.4,0
"19","2023-11-16","9:45:42","Ac19","2023-11-16_Ac19",10,0,28,10,1,1,0.863,"0.933",80.13,84.42,84.42,0.735,0.025,29.91,0,109,7.4,14.7,0
"20","2023-11-16","9:50:35","Ac20","2023-11-16_Ac20",10,1,28,10,1,1,0.906,"0.932",74.56,72.11,72.11,0.76,0.018,42.258,0,98.1,4.5,21.7,0
"21","2023-11-16","9:56:31","Ac21","2023-11-16_Ac21",11,0,28,11,1,1,1.172,"1.221",108.78,105,105,0.866,0.034,25.149,0,125.6,10.7,11.7,0
"22","2023-11-16","9:59:53","Ac22","2023-11-16_Ac22",11,1,28,11,1,1,1.246,"1.255",102.35,96.05,96.05,0.92,0.045,20.405,0,111.3,11.2,10,0
"23","2023-11-16","10:05:56","Ac23","2023-11-16_Ac23",12,0,28,12,1,1,0.681,"0.692",95.92,93.24,93.24,0.735,0.016,46.696,0,130.5,6.1,21.4,0
"24","2023-11-16","10:10:19","Ac24","2023-11-16_Ac24",12,1,28,12,1,1,0.931,"0.922",101.82,96.18,96.18,0.829,0.043,19.126,0,122.8,13.7,9,0
"25","2023-11-16","10:15:50","Ac25","2023-11-16_Ac25",13,0,24,13,1,1,0.869,"0.882",108.81,107.94,107.94,0.783,0.014,54.469,0,138.9,5.7,24.4,0
"26","2023-11-16","10:22:19","Ac26","2023-11-16_Ac26",13,1,24,13,1,1,0.865,"0.955",117.66,112.98,112.98,0.73,0.021,34.972,0,161.1,10.9,14.8,0
"27","2023-11-16","10:27:24","Ac27","2023-11-16_Ac27",14,0,24,14,1,1,1.115,"1.177",117.52,112.98,112.98,0.846,0.032,26.21,0,138.9,11.8,11.7,0
"28","2023-11-16","10:31:51","Ac28","2023-11-16_Ac28",14,1,24,14,1,1,0.794,"0.794",106.56,104.58,104.58,0.769,0.025,31.155,0,138.6,9.9,14,0
"29","2023-11-16","10:36:43","Ac29","2023-11-16_Ac29",15,0,24,15,1,1,0.819,"0.829",116.39,108.36,108.36,0.766,0.025,30.052,0,152,11.7,13,0
"30","2023-11-16","10:42:16","Ac30","2023-11-16_Ac30",15,1,24,15,1,1,1.1,"1.14",92.18,87.5,87.5,0.867,0.051,17.077,0,106.3,12.5,8.5,0
"31","2023-11-16","10:47:33","Ac31","2023-11-16_Ac31",16,0,24,16,1,1,1.113,"1.158",93.66,89.49,89.49,0.867,0.036,24.29,0,108,9,12,0
"32","2023-11-16","10:52:58","Ac32","2023-11-16_Ac32",16,1,24,16,1,1,0.873,"0.951",104.02,99.96,99.96,0.726,0.034,21.655,0,143.2,15,9.6,0
"33","2023-11-16","10:57:59","Ac33","2023-11-16_Ac33",17,0,28,17,1,1,0.871,"0.906",107.51,99.46,99.46,0.787,0.036,22.031,0,136.7,13.8,9.9,0
"34","2023-11-16","11:02:48","Ac34","2023-11-16_Ac34",17,1,28,17,1,1,0.885,"0.891",132.5,124.74,124.74,0.762,0.029,26.246,0,173.9,16.1,10.8,0
"35","2023-11-16","11:08:00","Ac35","2023-11-16_Ac35",18,0,28,18,1,1,1.13,"1.176",138.98,129.36,129.36,0.814,0.018,44.744,0,170.7,9.2,18.5,0
"36","2023-11-16","11:12:53","Ac36","2023-11-16_Ac36",18,1,28,18,1,1,0.745,"0.758",118.23,110.04,110.04,0.785,0.03,25.919,0,150.6,13.4,11.2,0
"37","2023-11-16","11:18:13","Ac37","2023-11-16_Ac37",19,0,28,19,1,1,1.14,"1.163",128.02,119.28,119.28,0.868,0.05,17.235,0,147.6,19.6,7.5,0
"38","2023-11-16","11:23:22","Ac38","2023-11-16_Ac38",19,1,28,19,1,1,1.247,"1.255",116.66,106.26,106.26,0.906,0.054,16.771,0,128.8,16.7,7.7,0
"39","2023-11-16","11:28:12","Ac39","2023-11-16_Ac39",20,0,28,20,1,1,1.023,"1.026",118.7,111.72,111.72,0.815,0.023,35.17,0,145.7,9.4,15.5,0
"40","2023-11-16","11:33:25","Ac40","2023-11-16_Ac40",20,1,28,20,1,1,0.712,"0.731",98.23,94.5,94.5,0.726,0.022,32.985,0,135.2,9.1,14.9,0
"41","2023-11-16","11:37:53","Ac41","2023-11-16_Ac41",21,0,24,21,1,1,0.898,"0.895",117.79,115.5,115.5,0.776,0.038,20.409,0,151.9,17.2,8.8,0
"42","2023-11-16","11:42:37","Ac42","2023-11-16_Ac42",21,1,24,21,1,1,0.76,"0.767",94.97,94.92,94.92,0.756,0.02,38.338,0,125.7,7,17.8,0
