date,time,Epar
11/1/23,12:45:42,115.54
11/1/23,12:45:42,131.82
11/1/23,12:45:42,126.93
11/1/23,12:45:42,123.45
11/1/23,12:45:42,118.97
11/1/23,12:45:42,119.29
11/1/23,12:45:42,119.57
11/1/23,12:45:42,122.06
11/1/23,12:45:42,121.64
11/1/23,12:45:42,122.22
11/1/23,12:45:42,124.53
11/1/23,12:45:42,123.89
11/1/23,12:45:42,119.94
11/1/23,12:45:42,116.97
11/1/23,12:45:42,116.71
11/1/23,12:45:42,114.44
11/1/23,12:45:42,112.31
11/1/23,12:45:42,110.74
11/1/23,12:45:42,112.62
11/1/23,12:45:42,114.94
11/1/23,12:45:42,116.27
11/1/23,12:45:42,115.37
11/1/23,12:45:42,114.58
11/1/23,12:45:42,113.88
11/1/23,12:45:42,113.2
11/1/23,12:45:42,117.81
11/1/23,12:45:42,123.53
11/1/23,12:45:42,124.23
11/1/23,12:45:42,126
11/1/23,12:45:42,127.66
11/1/23,12:45:42,126.03
11/1/23,12:45:42,127.32
11/1/23,12:45:42,129.35
11/1/23,12:45:42,129.31
11/1/23,12:45:42,126.68
11/1/23,12:45:42,123.57
11/1/23,12:45:42,125.37
11/1/23,12:45:42,126.09
11/1/23,12:45:42,128.35
11/1/23,12:45:42,132.34
11/1/23,12:45:42,132.8
11/1/23,12:45:42,132.9
11/1/23,12:45:42,135.34
11/1/23,12:45:42,135.98
11/1/23,12:45:42,131.32
11/1/23,12:45:42,125.28
11/1/23,12:45:42,121.6
11/1/23,12:45:42,123.92
11/1/23,12:45:42,125.95
11/1/23,12:45:42,124.86
11/1/23,12:45:42,122.23
11/1/23,12:45:42,117.17
11/1/23,12:45:42,111.83
11/1/23,12:45:42,109.17
11/1/23,12:45:42,108.54
11/1/23,12:45:42,106.73
11/1/23,12:45:42,106.27
11/1/23,12:45:42,104.12
11/1/23,12:45:42,102.07
11/1/23,12:45:42,102.04
11/1/23,12:45:42,101.28
11/1/23,12:45:42,101.06
11/1/23,12:45:42,101.8
11/1/23,12:45:42,103.41
11/1/23,12:45:42,104.41
11/1/23,12:45:42,106.21
11/1/23,12:45:42,107.82
11/1/23,12:45:42,108.52
11/1/23,12:45:42,108.61
11/1/23,12:45:42,109.03
11/1/23,12:45:42,107.67
11/1/23,12:45:42,112.09
11/1/23,12:45:42,117.71
11/1/23,12:45:42,124.45
11/1/23,12:45:42,130.61
11/1/23,12:45:42,137.22
11/1/23,12:45:42,141.37
11/1/23,12:45:42,146.61
11/1/23,12:45:42,148.53
11/1/23,12:45:42,152.73
11/1/23,12:45:42,153.42
11/1/23,12:45:42,154.19
11/1/23,12:45:42,156.23
11/1/23,12:45:42,157
11/1/23,12:45:42,151.8
11/1/23,12:45:42,153.04
11/1/23,12:45:42,152.16
11/1/23,12:45:42,149.95
11/1/23,12:45:42,149.21
11/1/23,12:45:42,143.58
11/1/23,12:45:42,141.29
11/1/23,12:45:42,138.66
11/1/23,12:45:42,132.63
11/1/23,12:45:42,127.08
11/1/23,12:45:42,121.9
11/1/23,12:45:42,120.1
11/1/23,12:45:42,124.14
11/1/23,12:45:42,131.94
11/1/23,12:45:42,130.7
11/1/23,12:45:42,128
11/1/23,12:45:42,126.39
11/1/23,12:45:42,126.39
11/1/23,12:45:42,125.69
11/1/23,12:45:42,123.19
11/1/23,12:45:42,118.39
11/1/23,12:45:42,112.38
11/1/23,12:45:42,105.55
11/1/23,12:45:42,100.75
11/1/23,12:45:42,95.389
11/1/23,12:45:42,92.279
11/1/23,12:45:42,91.403
11/1/23,12:45:42,89.879
11/1/23,12:45:42,89.17
11/1/23,12:45:42,90.131
11/1/23,12:45:42,92.056
11/1/23,12:45:42,92.142
11/1/23,12:45:42,92.018
11/1/23,12:45:42,91.775
11/1/23,12:45:42,90.595
11/1/23,12:45:42,90.512
11/1/23,12:45:42,88.787
11/1/23,12:45:42,87.281
11/1/23,12:45:42,82.643
11/1/23,12:45:42,78.678
11/1/23,12:45:42,77.543
11/1/23,12:45:42,78.293
11/1/23,12:45:42,81.407
11/1/23,12:45:42,84.764
11/1/23,12:45:42,94.29
11/1/23,12:45:42,97.859
11/1/23,12:45:42,100.53
11/1/23,12:45:42,101.85
11/1/23,12:45:42,102.33
11/1/23,12:45:42,103.29
11/1/23,12:45:42,102.46
11/1/23,12:45:42,105.63
11/1/23,12:45:42,107.21
11/1/23,12:45:42,107.71
11/1/23,12:45:42,108.98
11/1/23,12:45:42,108.73
11/1/23,12:45:42,108.64
11/1/23,12:45:42,109.37
11/1/23,12:45:42,109.62
11/1/23,12:45:42,110.37
11/1/23,12:45:42,110.5
11/1/23,12:45:42,111.61
11/1/23,12:45:42,116.78
11/1/23,12:45:42,117.61
11/1/23,12:45:42,115.18
11/1/23,12:45:42,109.53
11/1/23,12:45:42,108.05
11/1/23,12:45:42,102.33
11/1/23,12:45:42,99.595
11/1/23,12:45:42,98.217
11/1/23,12:45:42,93.716
